dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.555142,11.441275,7.040000,8.000000,0.000000,0.000000,0.264174
0.020000,11.709618,11.482955,7.200000,8.000000,0.000000,0.000000,0.262864
0.020000,11.864154,11.524413,7.360000,8.000000,0.000000,0.000000,0.261300
0.020000,12.018759,11.565610,7.520000,8.000000,0.000000,0.000000,0.259481
0.020000,12.173444,11.606506,7.680000,8.000000,0.000000,0.000000,0.257407
0.020000,12.328219,11.647060,7.840000,8.000000,0.000000,0.000000,0.255077
0.020000,12.483093,11.687235,8.000000,8.000000,0.000000,0.000000,0.252491
0.020000,12.637671,11.726885,8.159582,7.958238,-2.088079,-104.403934,0.249657
0.020000,12.790994,11.765733,8.317750,7.858506,-4.986629,-144.927536,0.246596
0.020000,12.942346,11.803571,8.473761,7.742564,-5.797101,-40.523603,0.243330
0.020000,13.091573,11.840347,8.627452,7.626622,-5.797101,0.000000,0.239874
0.020000,13.238677,11.876045,8.778825,7.510680,-5.797101,-0.000000,0.236238
0.020000,13.383656,11.910658,8.927880,7.394738,-5.797101,0.000000,0.232431
0.020000,13.526512,11.944177,9.074615,7.278796,-5.797101,-0.000000,0.228465
0.020000,13.667242,11.976597,9.219031,7.162854,-5.797101,0.000000,0.224349
0.020000,13.805845,12.007917,9.361129,7.046912,-5.797101,0.000000,0.220093
0.020000,13.942318,12.038137,9.500908,6.930970,-5.797101,-0.000000,0.215708
0.020000,14.076658,12.067258,9.638368,6.815028,-5.797101,0.000000,0.211203
0.020000,14.208860,12.095286,9.773509,6.699086,-5.797101,-0.000000,0.206588
0.020000,14.338922,12.122226,9.906331,6.583144,-5.797101,0.000000,0.201872
0.020000,14.466837,12.148087,10.036835,6.467201,-5.797101,-0.000000,0.197065
0.020000,14.592601,12.172879,10.165019,6.351259,-5.797101,0.000000,0.192177
0.020000,14.716209,12.196614,10.290885,6.235317,-5.797101,0.000000,0.187216
0.020000,14.837654,12.219305,10.414432,6.119375,-5.797101,-0.000000,0.182192
0.020000,14.956930,12.240969,10.535660,6.003433,-5.797101,0.000000,0.177114
0.020000,15.074032,12.261621,10.654569,5.887491,-5.797101,-0.000000,0.171991
0.020000,15.188953,12.281280,10.771160,5.771549,-5.797101,0.000000,0.166831
0.020000,15.301687,12.299964,10.885431,5.655607,-5.797101,-0.000000,0.161644
0.020000,15.412226,12.317695,10.997384,5.539665,-5.797101,0.000000,0.156436
0.020000,15.520565,12.334495,11.107018,5.423723,-5.797101,0.000000,0.151218
0.020000,15.626697,12.350385,11.214333,5.307781,-5.797101,-0.000000,0.145996
0.020000,15.730616,12.365389,11.319329,5.191839,-5.797101,0.000000,0.140779
0.020000,15.832314,12.379533,11.422007,5.075897,-5.797101,-0.000000,0.135575
0.020000,15.931786,12.392840,11.522365,4.959955,-5.797101,0.000000,0.130390
0.020000,16.029026,12.405337,11.620405,4.844013,-5.797101,0.000000,0.125233
0.020000,16.124028,12.417051,11.716126,4.728071,-5.797101,-0.000000,0.120111
0.020000,16.216785,12.428007,11.809528,4.612129,-5.797101,0.000000,0.115030
0.020000,16.307292,12.438235,11.900611,4.496187,-5.797101,-0.000000,0.109998
0.020000,16.395543,12.447760,11.989375,4.380245,-5.797101,0.000000,0.105020
0.020000,16.481534,12.456611,12.075821,4.264303,-5.797101,-0.000000,0.100103
0.020000,16.565260,12.464815,12.159947,4.148361,-5.797101,0.000000,0.095254
0.020000,16.646715,12.472402,12.241755,4.032419,-5.797101,0.000000,0.090478
0.020000,16.725895,12.479398,12.321244,3.916477,-5.797101,-0.000000,0.085780
0.020000,16.802797,12.485833,12.398414,3.800535,-5.797101,0.000000,0.081167
0.020000,16.877415,12.491733,12.473265,3.684593,-5.797101,-0.000000,0.076643
0.020000,16.949747,12.497127,12.545798,3.568651,-5.797101,0.000000,0.072213
0.020000,17.019788,12.502042,12.616011,3.452709,-5.797101,0.000000,0.067883
0.020000,17.087536,12.506504,12.683906,3.336767,-5.797101,0.000000,0.063657
0.020000,17.152987,12.510541,12.749482,3.220825,-5.797101,0.000000,0.059539
0.020000,17.216140,12.514179,12.812739,3.104883,-5.797101,0.000000,0.055533
0.020000,17.276990,12.517443,12.873677,2.988941,-5.797101,0.000000,0.051643
0.020000,17.335537,12.520359,12.932297,2.872999,-5.797101,-0.000000,0.047874
0.020000,17.391778,12.522950,12.988597,2.757057,-5.797101,0.000000,0.044228
0.020000,17.445711,12.525242,13.042579,2.641115,-5.797101,0.000000,0.040709
0.020000,17.497334,12.527258,13.094242,2.525173,-5.797101,0.000000,0.037321
0.020000,17.546647,12.529019,13.143586,2.409230,-5.797101,0.000000,0.034065
0.020000,17.593647,12.530547,13.190611,2.293288,-5.797101,0.000000,0.030945
0.020000,17.638334,12.531864,13.235317,2.177346,-5.797101,-0.000000,0.027964
0.020000,17.680707,12.532989,13.277705,2.061404,-5.797101,0.000000,0.025124
0.020000,17.720764,12.533941,13.317774,1.945462,-5.797101,0.000000,0.022427
0.020000,17.758506,12.534740,13.355523,1.829520,-5.797101,0.000000,0.019876
0.020000,17.793930,12.535401,13.390954,1.713578,-5.797101,0.000000,0.017472
0.020000,17.827038,12.535943,13.424067,1.597636,-5.797101,-0.000000,0.015218
0.020000,17.857828,12.536379,13.454860,1.481694,-5.797101,0.000000,0.013114
0.020000,17.886300,12.536724,13.483334,1.365752,-5.797101,0.000000,0.011163
0.020000,17.912455,12.536993,13.509490,1.249810,-5.797101,-0.000000,0.009366
0.020000,17.936291,12.537197,13.533327,1.133868,-5.797101,0.000000,0.007724
0.020000,17.957808,12.537347,13.554845,1.017926,-5.797101,0.000000,0.006239
0.020000,17.977007,12.537454,13.574044,0.901984,-5.797101,-0.000000,0.004911
0.020000,17.993887,12.537527,13.590924,0.786042,-5.797101,0.000000,0.003741
0.020000,18.008448,12.537574,13.605485,0.670100,-5.797101,-0.000000,0.002731
0.020000,18.020691,12.537602,13.617728,0.554158,-5.797101,0.000000,0.001880
0.020000,18.030615,12.537617,13.627652,0.438216,-5.797101,-0.000000,0.001190
0.020000,18.038219,12.537625,13.635257,0.322274,-5.797101,0.000000,0.000661
0.020000,18.043505,12.537627,13.640543,0.206332,-5.797101,-0.000000,0.000292
0.020000,18.046473,12.537628,13.643510,0.090390,-5.797101,0.000000,0.000086
0.020000,18.047539,12.537628,13.644576,0.016209,-3.709023,104.403934,0.000011
0.020000,18.047701,12.537628,13.644738,0.000000,-0.810472,144.927536,0.000000
0.020000,18.047701,12.537628,13.644738,0.000000,0.000000,40.523603,0.000000
