dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.662846,10.434380,7.062618,7.959948,-0.635046,-0.014194,0.265229
0.020000,11.816254,10.475967,7.221562,7.947240,-0.635397,-0.017570,0.264174
0.020000,11.969466,10.517306,7.380253,7.934522,-0.635922,-0.026265,0.262864
0.020000,12.122490,10.558359,7.538689,7.921791,-0.636558,-0.031803,0.261300
0.020000,12.275338,10.599087,7.696870,7.909045,-0.637275,-0.035813,0.259481
0.020000,12.428018,10.639452,7.854795,7.896286,-0.637964,-0.034496,0.257407
0.020000,12.580539,10.679417,8.012465,7.883508,-0.638917,-0.047645,0.255077
0.020000,12.732910,10.718942,8.169880,7.870711,-0.639845,-0.046365,0.252491
0.020000,12.884743,10.757888,8.326628,7.837402,-1.665443,-51.279891,0.249657
0.020000,13.035098,10.795984,8.481734,7.755315,-4.104356,-121.945654,0.246596
0.020000,13.183283,10.833031,8.634479,7.637257,-5.902873,-89.925893,0.243330
0.020000,13.329154,10.868979,8.784715,7.511778,-6.273961,-18.554376,0.239874
0.020000,13.472723,10.903820,8.932451,7.386818,-6.248001,1.298006,0.236238
0.020000,13.614000,10.937548,9.077699,7.262376,-6.222122,1.293966,0.232431
0.020000,13.752994,10.970161,9.220467,7.138445,-6.196549,1.278647,0.228465
0.020000,13.889714,11.001658,9.360768,7.015022,-6.171163,1.269258,0.224349
0.020000,14.024166,11.032040,9.498610,6.892099,-6.146131,1.251595,0.220093
0.020000,14.156357,11.061312,9.634003,6.769673,-6.121285,1.242337,0.215708
0.020000,14.286294,11.089479,9.766958,6.647738,-6.096750,1.226743,0.211203
0.020000,14.413982,11.116549,9.897484,6.526290,-6.072418,1.216603,0.206588
0.020000,14.539425,11.142533,10.025590,6.405322,-6.048382,1.201769,0.201872
0.020000,14.662629,11.167441,10.151287,6.284830,-6.024612,1.188518,0.197065
0.020000,14.783597,11.191288,10.274583,6.164808,-6.001103,1.175459,0.192177
0.020000,14.902333,11.214088,10.395488,6.045249,-5.977945,1.157881,0.187216
0.020000,15.018840,11.235857,10.514011,5.926148,-5.955058,1.144363,0.182192
0.020000,15.133120,11.256613,10.630161,5.807498,-5.932511,1.127337,0.177114
0.020000,15.245177,11.276375,10.743947,5.689292,-5.910297,1.110732,0.171991
0.020000,15.355012,11.295164,10.855377,5.571523,-5.888418,1.093946,0.166831
0.020000,15.462627,11.313000,10.964461,5.454183,-5.867038,1.068972,0.161644
0.020000,15.568025,11.329907,11.071206,5.337265,-5.845869,1.058458,0.156436
0.020000,15.671207,11.345906,11.175621,5.220761,-5.825206,1.033145,0.151218
0.020000,15.772175,11.361023,11.277715,5.104661,-5.804979,1.011356,0.145996
0.020000,15.870930,11.375282,11.377494,4.988959,-5.785117,0.993128,0.140779
0.020000,15.967474,11.388709,11.474967,4.873642,-5.765861,0.962755,0.135575
0.020000,16.061808,11.401329,11.570141,4.758704,-5.746886,0.948757,0.130390
0.020000,16.153933,11.413169,11.663023,4.644131,-5.728674,0.910631,0.125233
0.020000,16.243850,11.424255,11.753622,4.529919,-5.710596,0.903864,0.120111
0.020000,16.331561,11.434616,11.841943,4.416054,-5.693218,0.868937,0.115030
0.020000,16.417068,11.444278,11.927993,4.302526,-5.676416,0.840065,0.109998
0.020000,16.500370,11.453269,12.011780,4.189320,-5.660284,0.806610,0.105020
0.020000,16.581471,11.461617,12.093309,4.076438,-5.644118,0.808291,0.100103
0.020000,16.660370,11.469349,12.172586,3.963859,-5.628961,0.757875,0.095254
0.020000,16.737069,11.476492,12.249617,3.851570,-5.614448,0.725629,0.090478
0.020000,16.811570,11.483075,12.324408,3.739564,-5.600295,0.707656,0.085780
0.020000,16.883874,11.489125,12.396965,3.627835,-5.586433,0.693089,0.081167
0.020000,16.953983,11.494669,12.467292,3.516368,-5.573351,0.654144,0.076643
0.020000,17.021897,11.499733,12.535395,3.405149,-5.560977,0.618677,0.072213
0.020000,17.087619,11.504345,12.601279,3.294165,-5.549182,0.589732,0.067883
0.020000,17.151150,11.508529,12.664947,3.183418,-5.537349,0.591661,0.063657
0.020000,17.212491,11.512313,12.726405,3.072890,-5.526389,0.548028,0.059539
0.020000,17.271644,11.515720,12.785656,2.962553,-5.516872,0.475840,0.055533
0.020000,17.328611,11.518776,12.842705,2.852442,-5.505526,0.567286,0.051643
0.020000,17.383393,11.521504,12.897555,2.742489,-5.497690,0.391781,0.047874
0.020000,17.435992,11.523928,12.950209,2.632733,-5.487782,0.495415,0.044228
0.020000,17.486409,11.526071,13.000672,2.523141,-5.479573,0.410466,0.040709
0.020000,17.534646,11.527954,13.048946,2.413712,-5.471475,0.404895,0.037321
